Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4] 162.00-163.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 163.00-164.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 164.00-165.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 165.00-166.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 166.00-167.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 167.00-168.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 168.00-169.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 169.00-170.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 170.00-171.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 171.00-172.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 172.00-173.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 173.00-174.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 174.00-175.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 175.00-176.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 176.00-177.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 177.00-178.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 178.00-179.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 179.00-180.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-180.00 sec  2.01 GBytes  11.4 MBytes/sec  2389.146 ms  3493/262974 (1.3%)
[  4] Sent 262974 datagrams

Server output:
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.236, port 59417
[  5] local 192.168.2.140 port 5201 connected to 192.168.2.236 port 55020
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  9.49 MBytes  9.49 MBytes/sec  0.984 ms  0/1215 (0%)
[  5]   1.00-2.00   sec  11.7 MBytes  11.7 MBytes/sec  0.753 ms  0/1503 (0%)
[  5]   2.00-3.00   sec  11.4 MBytes  11.4 MBytes/sec  0.525 ms  0/1463 (0%)
[  5]   3.00-4.00   sec  11.4 MBytes  11.4 MBytes/sec  0.680 ms  0/1460 (0%)
[  5]   4.00-5.00   sec  11.4 MBytes  11.4 MBytes/sec  0.854 ms  0/1456 (0%)
[  5]   5.00-6.00   sec  11.5 MBytes  11.5 MBytes/sec  0.336 ms  0/1472 (0%)
[  5]   6.00-7.00   sec  11.4 MBytes  11.4 MBytes/sec  0.757 ms  0/1458 (0%)
[  5]   7.00-8.00   sec  11.4 MBytes  11.3 MBytes/sec  0.641 ms  0/1456 (0%)
[  5]   8.00-9.00   sec  11.4 MBytes  11.5 MBytes/sec  0.788 ms  0/1465 (0%)
[  5]   9.00-10.00  sec  11.5 MBytes  11.5 MBytes/sec  0.534 ms  0/1467 (0%)
[  5]  10.00-11.00  sec  11.3 MBytes  11.3 MBytes/sec  1.391 ms  0/1447 (0%)
[  5]  11.00-12.00  sec  11.6 MBytes  11.6 MBytes/sec  0.302 ms  0/1481 (0%)
[  5]  12.00-13.00  sec  11.4 MBytes  11.4 MBytes/sec  0.602 ms  0/1462 (0%)
[  5]  13.00-14.00  sec  11.4 MBytes  11.4 MBytes/sec  0.656 ms  0/1460 (0%)
[  5]  14.00-15.00  sec  11.4 MBytes  11.4 MBytes/sec  0.673 ms  0/1462 (0%)
[  5]  15.00-16.00  sec  11.4 MBytes  11.4 MBytes/sec  0.691 ms  0/1461 (0%)
[  5]  16.00-17.00  sec  11.3 MBytes  11.3 MBytes/sec  0.900 ms  0/1450 (0%)
